swifttrack-core  | 
swifttrack-core  | 2026-02-25T17:47:05.535Z  INFO 1 --- [swifttrack-core] [           main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
swifttrack-core  | 2026-02-25T17:47:05.741Z  INFO 1 --- [swifttrack-core] [           main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.4.4.Final
swifttrack-core  | 2026-02-25T17:47:05.946Z  INFO 1 --- [swifttrack-core] [           main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
swifttrack-core  | 2026-02-25T17:47:06.553Z  INFO 1 --- [swifttrack-core] [           main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
swifttrack-core  | 2026-02-25T17:47:08.614Z  INFO 1 --- [swifttrack-core] [           main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
swifttrack-core  | 2026-02-25T17:47:08.654Z  INFO 1 --- [swifttrack-core] [           main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
swifttrack-core  | 2026-02-25T17:47:10.068Z  INFO 1 --- [swifttrack-core] [           main] o.s.ws.soap.saaj.SaajSoapMessageFactory  : Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
swifttrack-core  | 2026-02-25T17:47:10.331Z  WARN 1 --- [swifttrack-core] [           main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
swifttrack-core  | 2026-02-25T17:47:10.521Z  INFO 1 --- [swifttrack-core] [           main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page: class path resource [static/index.html]
swifttrack-core  | 2026-02-25T17:47:11.381Z  INFO 1 --- [swifttrack-core] [           main] DiscoveryClientOptionalArgsConfiguration : Eureka HTTP Client uses RestTemplate.
swifttrack-core  | 2026-02-25T17:47:11.470Z  WARN 1 --- [swifttrack-core] [           main] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
swifttrack-core  | 2026-02-25T17:47:11.492Z  INFO 1 --- [swifttrack-core] [           main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
swifttrack-core  | 2026-02-25T17:47:11.603Z  INFO 1 --- [swifttrack-core] [           main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
